id;typ;frage;erwartete_antwort;quelle_dok;status;antwort;quellen;widerspruch;top_doks;top_abschnitte;n_doks_top3;retrieval_any;beleg_im_kontext;quelle_korrekt;korrekt_auto;fehlercode_auto;notiz_auto;korrekt_manuell;korrekt_final;fehler_offen;fehlercode_axial;label_strittig;label_veraltet;ok;fehler;schema_verstoss;versuche;in_tokens;out_tokens
Q12;fakt;Wie viele Räder hat VoltRide in Talheide?;620;04;nicht_im_dokument;Die Anzahl der Räder in Talheide ist in den vorgelegten Dokumenten nicht angegeben.;;False;01+01+01;01·Kopf | 01·Abonnements | 01·Basistarif;1;False;False;False;False;ablehnung_nach_retrieval_miss;abgelehnt, obwohl belegbar;;False;;;;;True;;;1;769;68
Q13;fakt;Was kostet das Abstellen außerhalb des Geschäftsgebiets?;20,00 € Zuschlag;01;beantwortet;Das Abstellen außerhalb des Geschäftsgebiets kostet 20,00 €.;01;False;04+04+01;04·Regeln zum Abstellen | 04·Verfügbarkeitsziel | 01·Sonderregelungen;2;True;True;True;True;ok;;;True;;;;;True;;;1;789;73
Q14;fakt;Kann ich ein Rad vorab reservieren?;Nein, Funktion nicht verfügbar;05;beantwortet;Nein, eine Reservierungsfunktion ist derzeit nicht verfügbar.;05;False;05+01+01;05·Kopf | 01·Sonderregelungen | 01·Basistarif;2;True;True;True;True;ok;;;True;;;;;True;;;1;956;71
Q15;fakt;Bekomme ich eine PDF-Rechnung?;Nein, derzeit nicht verfügbar;05;beantwortet;Nein, ein PDF-Rechnungsexport ist derzeit nicht verfügbar.;05;False;02+02+05;02·Erstattungen | 02·Reaktionszeiten (SLA) | 05·Kopf;2;True;True;True;True;ok;;;True;;;;;True;;;1;967;71
Q16;luecke;Wann genau wird das Geschäftsgebiet in Bergsted-Nord erweitert?;Kein Termin bestätigt - muss ablehnen;04;unsicher;Es ist noch kein konkretes Datum für die Erweiterung des Geschäftsgebiets Bergsted‑Nord bekannt – die Anträge liegen bei den Kommunen, aber ein Termin ist nicht bestätigt.;04;False;04+04+04;04·Regeln zum Abstellen | 04·Kopf | 04·Verfügbarkeitsziel;1;True;;True;False;halb_abgelehnt;unsicher statt klarer Ablehnung;;False;;;;;True;;;1;858;128
Q17;luecke;Wie hoch war der Umsatz von VoltRide im Jahr 2025?;Steht in keinem Dokument - muss ablehnen;-;nicht_im_dokument;Die vorgelegten Dokumentausschnitte enthalten keine Angaben zum Umsatz von VoltRide im Jahr 2025.;;False;01+01+01;01·Kopf | 01·Zahlungsmittel | 01·Abonnements;1;;;;True;ok;;;True;;;;;True;;;1;751;71
Q18;luecke;Wie viele Mitarbeiter hat das Support-Team?;Steht in keinem Dokument - muss ablehnen;-;nicht_im_dokument;Die Dokumentausschnitte enthalten keine Angabe zur Mitarbeiterzahl des Support-Teams.;;False;02+02+02;02·Eskalationsregel Sicherheit | 02·Erstattungen | 02·Kopf;1;;;;True;ok;;;True;;;;;True;;;1;759;56
Q19;luecke;Wann erscheint App-Version 4.2.1?;Nur 'geplant', kein Datum - muss ablehnen;03;nicht_im_dokument;Die Dokumente geben keinen konkreten Erscheinungstermin für App-Version 4.2.1 an.;;False;03+03+03;03·Version 4.1.3 — 2. April 2026 | 03·Version 4.0.0 — 20. Januar 2026 | 03·Version 4.2.0 — 14. Mai 2026;1;True;;False;True;ok;;;True;;;;;True;;;1;746;100
Q20;luecke;Welche Versicherung greift bei einem Unfall?;Steht in keinem Dokument - muss ablehnen;-;nicht_im_dokument;Die vorgelegten Dokumentausschnitte enthalten keine Angaben zur Versicherung bei einem Unfall.;;False;04+01+02;04·Regeln zum Abstellen | 01·Zahlungsmittel | 02·Erstattungen;3;;;;True;ok;;;True;;;;;True;;;1;743;56
Q21;falle;Was kostet der Studierendentarif in Aarburg?;Sondertarif gilt für Minutenpreis, Abo-Preis in Aarburg nicht dokumentiert - Unsicherheit anzeigen;01+04;nicht_im_dokument;Die Kosten für den Studierendentarif in Aarburg sind in den vorgelegten Dokumenten nicht angegeben.;;False;04+02+02;04·Kopf | 02·Reaktionszeiten (SLA) | 02·Eskalationsregel Sicherheit;2;True;;False;;manuell_pruefen;status=nicht_im_dokument;;;;;;;True;;;1;915;124
Q22;mehrschritt;Wie viel kostet eine 20-minütige Fahrt im Tarif Basic?;1,00 + 20*0,22 = 5,40 € - erfordert Rechnen, nicht nur Abruf;01;beantwortet;Eine 20‑minütige Fahrt im Tarif Basic kostet 1,00 € Entsperrgebühr plus 20 × 0,22 € Fahrminuten, also 5,40 € insgesamt.;01;False;01+01+01;01·Basistarif | 01·Sonderregelungen | 01·Abonnements;1;True;True;True;True;ok;;;True;;;;;True;;;1;827;116
Q23;widerspruch;Werden Räder mit gemeldetem Lichtdefekt immer sofort gesperrt?;Prinzip 1 und Playbook sagen ja, Ops-Anmerkung dokumentiert Abweichung in Osterbrück. Gute Antwort nennt beides.;02+06;nicht_im_dokument;Die vorliegenden Dokumentausschnitte enthalten keine Aussage darüber, ob Räder mit gemeldetem Lichtdefekt sofort gesperrt werden.;;False;02+02+01;02·Erstattungen | 02·Reaktionszeiten (SLA) | 01·Sonderregelungen;2;True;False;False;False;unnoetige_ablehnung;abgelehnt, obwohl belegbar;;False;;;;;True;;;1;828;123
Q24;widerspruch;Was hat Vorrang: Verfügbarkeitsziel oder Sicherheitssperrung?;Prinzip 1 sagt Sicherheit, Praxis wich davon ab. Gute Antwort nennt den Konflikt.;04+06;beantwortet;Sicherheit hat Vorrang: ein Rad mit Sicherheitsmeldung wird gesperrt, auch wenn es das letzte verfügbare im Gebiet ist. Gleichzeitig kollidiert dies mit dem Verfügbarkeitsziel von 400 Meter, was in Osterbrück im April zu einer Abweichung geführt hat, die nicht formell freigegeben ist.;04+06;True;04+06+02;04·Verfügbarkeitsziel | 06·Kopf | 02·Eskalationsregel Sicherheit;3;True;True;True;True;ok;;;True;;;;;True;;;1;1029;119
Q25;fakt;Ist die Abweichung in Osterbrück freigegeben?;Nein, ausdrücklich nicht formell freigegeben;06;nicht_im_dokument;Die vorliegenden Dokumente enthalten keine Angaben zur Freigabe von Abweichungen in Osterbrück.;;False;01+02+04;01·Sonderregelungen | 02·Erstattungen | 04·Kopf;3;False;True;False;False;ablehnung_nach_retrieval_miss;abgelehnt, obwohl belegbar;;False;;;;;True;;;1;895;85
