id;typ;frage;erwartete_antwort;quelle_dok;status;antwort;quellen;widerspruch;top_doks;top_abschnitte;n_doks_top3;retrieval_any;retrieval_all;quelle_korrekt;korrekt_auto;fehlercode_auto;notiz_auto;korrekt_manuell;fehler_offen;fehlercode_axial;label_strittig;ok;schema_verstoss;versuche;in_tokens;out_tokens
Q11;fakt;Welches bekannte Problem gibt es in der aktuellen App-Version?;Fotoupload-Absturz auf Android 15, Fix in 4.2.1 geplant;03;beantwortet;In der aktuellen App-Version 4.2.0 ist bekannt, dass der Fotoupload auf Android 15 zum Absturz führen kann.;03;False;03+03+02;03·Version 4.1.3 — 2. April 2026 | 03·Version 4.2.0 — 14. Mai 2026 | 02·Häufige Fälle;2;True;True;True;True;ok;;;;;;True;;1;767;102
Q12;fakt;Wie viele Räder hat VoltRide in Talheide?;620;04;nicht_im_dokument;In den vorgelegten Dokumenten steht nicht, wie viele Räder VoltRide in Talheide hat.;;False;01+01+01;01·Kopf | 01·Abonnements | 01·Basistarif;1;False;False;False;False;ablehnung_nach_retrieval_miss;abgelehnt, obwohl belegbar;False;"Fehlende Information; Dok 04 nicht geprüft";kein_vollständiges_retrieval;;True;;1;737;82
Q13;fakt;Was kostet das Abstellen außerhalb des Geschäftsgebiets?;20,00 € Zuschlag;01;beantwortet;Das Abstellen außerhalb des Geschäftsgebiets kostet 20,00 €.;01;False;04+04+01;04·Regeln zum Abstellen | 04·Verfügbarkeitsziel | 01·Sonderregelungen;2;True;True;True;True;ok;;;;;;True;;1;757;73
Q14;fakt;Kann ich ein Rad vorab reservieren?;Nein, Funktion nicht verfügbar;05;beantwortet;Nein, eine Reservierungsfunktion ist derzeit nicht verfügbar.;05;False;05+01+01;05·Kopf | 01·Sonderregelungen | 01·Basistarif;2;True;True;True;True;ok;;;;;;True;;1;924;68
Q15;fakt;Bekomme ich eine PDF-Rechnung?;Nein, derzeit nicht verfügbar;05;beantwortet;Ein PDF-Rechnungsexport ist derzeit nicht verfügbar.;05;False;02+02+05;02·Erstattungen | 02·Reaktionszeiten (SLA) | 05·Kopf;2;True;True;True;True;ok;;;;;;True;;1;935;70
Q16;luecke;Wann genau wird das Geschäftsgebiet in Bergsted-Nord erweitert?;Kein Termin bestätigt - muss ablehnen;04;nicht_im_dokument;In den vorliegenden Dokumenten steht nicht, wann das Geschäftsgebiet in Bergsted-Nord erweitert wird.;;False;04+04+04;04·Regeln zum Abstellen | 04·Kopf | 04·Verfügbarkeitsziel;1;True;True;False;True;ok;;;;;;True;;1;826;105
Q17;luecke;Wie hoch war der Umsatz von VoltRide im Jahr 2025?;Steht in keinem Dokument - muss ablehnen;-;nicht_im_dokument;In den vorgelegten Dokumenten steht nichts über den Umsatz von VoltRide im Jahr 2025.;;False;01+01+01;01·Kopf | 01·Zahlungsmittel | 01·Abonnements;1;;;;True;ok;;;;;;True;;1;719;59
Q18;luecke;Wie viele Mitarbeiter hat das Support-Team?;Steht in keinem Dokument - muss ablehnen;-;nicht_im_dokument;In den vorgelegten Dokumenten steht nicht, wie viele Mitarbeiter das Support-Team hat.;;False;02+02+02;02·Eskalationsregel Sicherheit | 02·Erstattungen | 02·Kopf;1;;;;True;ok;;;;;;True;;1;727;56
Q19;luecke;Wann erscheint App-Version 4.2.1?;Nur 'geplant', kein Datum - muss ablehnen;03;unsicher;In den vorliegenden Dokumenten steht, dass der Fix für das bekannte Problem in Version 4.2.1 geplant ist, jedoch wird kein konkretes Erscheinungsdatum genannt.;03;False;03+03+03;03·Version 4.1.3 — 2. April 2026 | 03·Version 4.0.0 — 20. Januar 2026 | 03·Version 4.2.0 — 14. Mai 2026;1;True;True;True;False;halb_abgelehnt;unsicher statt klarer Ablehnung;True;Richtige Antwort;richtige_antwort;1;True;;1;714;97
Q20;luecke;Welche Versicherung greift bei einem Unfall?;Steht in keinem Dokument - muss ablehnen;-;nicht_im_dokument;In den vorgelegten Dokumenten steht nicht, welche Versicherung bei einem Unfall greift.;;False;04+01+02;04·Regeln zum Abstellen | 01·Zahlungsmittel | 02·Erstattungen;3;;;;True;ok;;;;;;True;;1;711;67
Q21;falle;Was kostet der Studierendentarif in Aarburg?;Sondertarif gilt für Minutenpreis, Abo-Preis in Aarburg nicht dokumentiert - Unsicherheit anzeigen;01+04;beantwortet;Der Studierendentarif in Aarburg kostet 0,19 €/Min.;04;False;04+02+02;04·Kopf | 02·Reaktionszeiten (SLA) | 02·Eskalationsregel Sicherheit;2;True;False;True;;manuell_pruefen;status=beantwortet (riskant);False;"Falsche Antwort; keine Info bezüglich Studierendentarif  in Dok 4";falsches_retrieval;;True;;1;883;95
Q22;mehrschritt;Wie viel kostet eine 20-minütige Fahrt im Tarif Basic?;1,00 + 20*0,22 = 5,40 € - erfordert Rechnen, nicht nur Abruf;01;beantwortet;Eine 20‑minütige Fahrt im Tarif Basic kostet 5,40 € (1,00 € Entsperrgebühr + 20 × 0,22 € Fahrminute).;01;False;01+01+01;01·Basistarif | 01·Sonderregelungen | 01·Abonnements;1;True;True;True;True;ok;;;;;;True;;1;795;131
Q23;widerspruch;Werden Räder mit gemeldetem Lichtdefekt immer sofort gesperrt?;Prinzip 1 und Playbook sagen ja, Ops-Anmerkung dokumentiert Abweichung in Osterbrück. Gute Antwort nennt beides.;02+06;unsicher;Räder mit gemeldetem Lichtdefekt werden nicht sofort gesperrt, sondern die Erstreaktion erfolgt innerhalb einer Stunde, wie im Support-Playbook angegeben.;02;False;02+02+01;02·Erstattungen | 02·Reaktionszeiten (SLA) | 01·Sonderregelungen;2;True;False;True;False;widerspruch_verschwiegen;fehlende Muster: 1;False;Defekte Beleuchtung nur Sperre bei Dunkelheit;falsches_retrieval;;True;;1;796;120
Q24;widerspruch;Was hat Vorrang: Verfügbarkeitsziel oder Sicherheitssperrung?;Prinzip 1 sagt Sicherheit, Praxis wich davon ab. Gute Antwort nennt den Konflikt.;04+06;unsicher;In den Dokumenten wird ein Konflikt beschrieben: Das Verfügbarkeitsziel (400 m) steht im Geschäftsgebiets‑Dokument, während die Sicherheitssperrung im Produktprinzipien‑Dokument und im Support‑Playbook als Vorrang gilt. Die Anmerkung aus Ops (Mai 2026) zeigt, dass in der Praxis die Sicherheit manchmal zugunsten des Verfügbarkeitsziels übergangen wird, jedoch nicht formal freigegeben ist.;02+04+06;True;04+06+02;04·Verfügbarkeitsziel | 06·Kopf | 02·Eskalationsregel Sicherheit;3;True;True;True;True;ok_mit_vorbehalt;richtig, aber als unsicher markiert;;;;;True;;1;997;149
Q25;fakt;Ist die Abweichung in Osterbrück freigegeben?;Nein, ausdrücklich nicht formell freigegeben;06;nicht_im_dokument;In den vorgelegten Dokumenten steht nicht, ob die Abweichung in Osterbrück freigegeben ist.;;False;01+02+04;01·Sonderregelungen | 02·Erstattungen | 04·Kopf;3;False;False;False;False;ablehnung_nach_retrieval_miss;abgelehnt, obwohl belegbar;False;Steht in Dok 06;falsches_retrieval;;True;;1;863;90
